Vendor,Model,Capacity,S5RelocSec,S187UncorErr,S188CmdTmOut,S197PendSecCnt,S198OfflineUncor
HGST,HMS5C4040ALE640,4000787030016,1,100,0,0,100,100
HGST,HMS5C4040BLE640,4000787030016,1,100,0,0,100,100
HGST,HMS5C4040BLE640,4000787030016,1,4,0,0,1,100
Hitachi,HDS5C3030ALA630,3000592982016,1,100,0,0,100,100
Hitachi,HDS5C3030ALA630,3000592982016,1,1,0,0,100,100
Hitachi,HDS5C3030ALA630,3000592982016,1,72,0,0,100,100
Hitachi,HDS5C3030ALA630,3000592982016,1,79,0,0,100,100
Hitachi,HDS5C4040ALE630,4000787030016,1,94,0,0,100,100
Hitachi,HDS722020ALA330,2000398934016,1,100,0,0,100,100
Hitachi,HDS722020ALA330,2000398934016,1,62,0,0,100,100
Hitachi,HDS722020ALA330,2000398934016,1,96,0,0,100,100
Hitachi,HDS723030ALA640,3000592982016,1,100,0,0,100,100
Hitachi,HDS723030ALA640,3000592982016,1,35,0,0,100,100
Hitachi,HDS723030ALA640,3000592982016,1,89,0,0,100,100
Seagate,ST250LM004-HN,250059350016,1,252,0,0,252,252
Seagate,ST250LT007,250059350016,1,100,100,100,100,100
Seagate,ST3160316AS,160041885696,1,100,100,100,100,100
Seagate,ST3160318AS,160041885696,1,100,100,100,100,100
Seagate,ST3160318AS,160041885696,1,28,100,100,100,100
Seagate,ST3160318AS,160041885696,1,42,100,99,100,100
Seagate,ST3160318AS,160041885696,1,95,100,100,100,100
Seagate,ST320LT007,320072933376,1,100,100,100,100,100
Seagate,ST320LT007,320072933376,1,95,100,100,100,100
Seagate,ST4000DM000,4000787030016,0,100,1,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,100,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,100,100,76,76
Seagate,ST4000DM000,4000787030016,1,100,100,100,85,85
Seagate,ST4000DM000,4000787030016,1,100,100,100,98,98
Seagate,ST4000DM000,4000787030016,1,100,100,100,99,99
Seagate,ST4000DM000,4000787030016,1,100,1,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,28,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,66,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,74,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,78,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,82,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,84,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,87,100,99,99
Seagate,ST4000DM000,4000787030016,1,100,88,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,91,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,92,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,93,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,94,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,95,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,96,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,97,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,98,100,100,100
Seagate,ST4000DM000,4000787030016,1,100,98,100,99,99
Seagate,ST4000DM000,4000787030016,1,100,99,100,100,100
Seagate,ST4000DM000,4000787030016,1,58,100,100,100,100
Seagate,ST4000DM000,4000787030016,1,78,100,100,98,98
Seagate,ST4000DM000,4000787030016,1,85,100,100,100,100
Seagate,ST4000DM000,4000787030016,1,94,100,100,100,100
Seagate,ST4000DM000,4000787030016,1,98,100,100,100,100
Seagate,ST4000DM000,4000787030016,1,98,98,100,38,38
Seagate,ST4000DM000,4000787030016,1,99,100,100,100,100
Seagate,ST4000DM000,4000787030016,1,99,72,100,100,100
Seagate,ST4000DM000,4000787030016,1,99,90,100,100,100
Seagate,ST4000DM000,4000787030016,1,99,96,100,100,100
Seagate,ST4000DM000,4000787030016,1,99,99,100,100,100
Seagate,ST4000DX000,4000787030016,1,100,100,100,100,100
Seagate,ST500LM012-HN,500107862016,1,252,0,0,252,252
Seagate,ST6000DX000,6001175126016,1,100,100,100,100,100
Seagate,ST8000DM002,8001563222016,1,100,100,100,100,100
Seagate,ST8000DM002,8001563222016,1,100,1,100,100,100
Seagate,ST9250315AS,250059350016,1,100,100,100,100,100
Seagate,ST9320325AS,320072933376,1,100,100,100,100,100
TOSHIBA,DT01ACA300,3000592982016,1,100,0,0,100,100
TOSHIBA,MD04ABA500V,5000981078016,1,100,0,0,100,100
WDC,WD10EADS,1000204886016,1,200,0,0,200,200
WDC,WD1600AAJB,160041885696,1,200,0,0,200,100
WDC,WD1600AAJB,160041885696,1,200,0,0,200,200
WDC,WD1600AAJS,160041885696,1,200,0,0,200,100
WDC,WD1600AAJS,160041885696,1,200,0,0,200,200
WDC,WD20EFRX,2000398934016,1,200,0,0,200,100
WDC,WD30EFRX,3000592982016,1,200,0,0,200,100
WDC,WD3200BEKT,320072933376,1,200,0,0,200,100
WDC,WD3200BEKX,320072933376,1,200,0,0,200,100
WDC,WD40EFRX,4000787030016,1,200,0,0,200,100
WDC,WD5000LPVX,500107862016,1,199,0,0,200,100
WDC,WD5002ABYS,500107862016,1,200,0,0,200,200
WDC,WD60EFRX,6001175126016,1,200,0,0,200,100
WDC,WD800AAJB,80026361856,1,200,0,0,200,100
WDC,WD800AAJS,80026361856,1,200,0,0,200,100
WDC,WD800AAJS,80026361856,1,200,0,0,200,200
WDC,WD800BB,80026361856,1,200,0,0,200,200
WDC,WD800JB,80026361856,1,200,0,0,200,200
